time,ax,ay,az,wx,wy,wz
2024-03-21 19:36:57.1250,-0.3,-0.06,1.36,-0.2,0.15,0.15
2024-03-21 19:36:57.1300,-0.34,-0.4,1.58,-0.15,0.14,0.15
2024-03-21 19:36:57.1390,-0.42,-0.73,1.88,-0.07,0.07,0.13
2024-03-21 19:36:57.1490,-0.49,-0.95,2.01,0.04,-0.06,0.11
2024-03-21 19:36:57.1610,-0.52,-1.06,1.92,0.04,-0.06,0.11
2024-03-21 19:36:57.1690,-0.53,-0.99,1.52,0.19,-0.2,0.13
2024-03-21 19:36:57.1790,-0.44,-0.71,0.81,0.14,-0.17,0.14
2024-03-21 19:36:57.1890,-0.23,-0.46,0.1,0.07,-0.15,0.13
2024-03-21 19:36:57.1990,0.03,-0.31,-0.3,-0.03,-0.16,0.12
2024-03-21 19:36:57.2090,0.2,-0.14,-0.37,-0.08,-0.1,0.09
2024-03-21 19:36:57.2190,0.39,-0.1,-0.51,-0.13,-0.04,0.04
2024-03-21 19:36:57.2290,0.52,-0.12,-0.44,-0.14,0.05,0.01
2024-03-21 19:36:57.2390,0.49,-0.15,-0.4,-0.14,0.13,-0.03
2024-03-21 19:36:57.2490,0.44,-0.29,-0.29,-0.13,0.18,-0.06
2024-03-21 19:36:57.2590,0.36,-0.41,-0.19,-0.12,0.19,-0.11
2024-03-21 19:36:57.2680,0.28,-0.51,-0.13,-0.1,0.16,-0.14
2024-03-21 19:36:57.2780,0.13,-0.54,-0.14,-0.07,0.14,-0.16
2024-03-21 19:36:57.2880,-0.06,-0.54,-0.16,-0.07,0.14,-0.16
2024-03-21 19:36:57.2980,-0.22,-0.49,-0.27,0.0,0.16,-0.12
2024-03-21 19:36:57.3080,-0.26,-0.42,-0.44,0.04,0.2,-0.09
2024-03-21 19:36:57.3180,-0.2,-0.36,-0.6,0.05,0.23,-0.06
2024-03-21 19:36:57.3280,-0.07,-0.31,-0.73,0.04,0.24,-0.04
2024-03-21 19:36:57.3380,0.09,-0.27,-0.78,0.03,0.22,-0.02
2024-03-21 19:36:57.3480,0.22,-0.28,-0.67,0.05,0.19,-0.01
2024-03-21 19:36:57.3580,0.32,-0.37,-0.45,0.1,0.16,0.0
2024-03-21 19:36:57.3680,0.41,-0.46,-0.27,0.18,0.15,0.01
2024-03-21 19:36:57.3780,0.5,-0.5,-0.2,0.26,0.16,0.02
2024-03-21 19:36:57.3880,0.57,-0.52,-0.28,0.32,0.17,0.02
2024-03-21 19:36:57.3980,0.68,-0.48,-0.47,0.35,0.16,0.01
2024-03-21 19:36:57.4070,0.75,-0.39,-0.71,0.35,0.13,-0.0
2024-03-21 19:36:57.4180,0.77,-0.28,-0.95,0.34,0.1,-0.0
2024-03-21 19:36:57.4280,0.75,-0.14,-1.18,0.31,0.12,0.02
2024-03-21 19:36:57.4370,0.69,0.0,-1.44,0.28,0.13,0.03
2024-03-21 19:36:57.4470,0.7,0.12,-1.62,0.23,0.1,0.03
