time,ax,ay,az,wx,wy,wz
2024-03-24 16:24:40.7930,0.3,0.61,-0.33,-0.31,-0.24,-0.56
2024-03-24 16:24:40.7980,0.27,0.5,-0.17,-0.15,-0.28,-0.48
2024-03-24 16:24:40.8060,0.11,0.6,0.17,-0.03,-0.31,-0.39
2024-03-24 16:24:40.8160,0.07,0.56,0.32,0.04,-0.29,-0.35
2024-03-24 16:24:40.8260,-0.07,0.45,0.41,0.07,-0.22,-0.33
2024-03-24 16:24:40.8370,-0.03,0.45,0.42,0.08,-0.13,-0.3
2024-03-24 16:24:40.8460,0.02,0.44,0.44,0.08,-0.06,-0.26
2024-03-24 16:24:40.8570,-0.04,0.43,0.44,0.07,-0.02,-0.21
2024-03-24 16:24:40.8660,-0.08,0.48,0.33,0.1,0.05,-0.16
2024-03-24 16:24:40.8760,-0.05,0.39,0.18,0.14,0.11,-0.14
2024-03-24 16:24:40.8870,-0.04,0.37,0.2,0.17,0.14,-0.14
2024-03-24 16:24:40.8960,-0.04,0.41,0.3,0.17,0.16,-0.16
2024-03-24 16:24:40.9060,0.0,0.38,0.22,0.15,0.19,-0.17
2024-03-24 16:24:40.9160,0.03,0.34,0.17,0.13,0.17,-0.16
2024-03-24 16:24:40.9260,-0.04,0.29,0.3,0.12,0.1,-0.14
2024-03-24 16:24:40.9370,-0.03,0.19,0.27,0.12,0.05,-0.11
2024-03-24 16:24:40.9460,0.14,0.07,0.28,0.12,0.01,-0.07
2024-03-24 16:24:40.9560,0.2,0.11,0.31,0.1,-0.04,-0.03
2024-03-24 16:24:40.9660,0.19,0.21,0.47,0.04,-0.11,0.0
2024-03-24 16:24:40.9760,0.07,0.21,0.59,-0.02,-0.19,-0.0
2024-03-24 16:24:40.9870,0.12,0.3,0.5,-0.07,-0.23,-0.0
2024-03-24 16:24:40.9960,0.22,0.39,0.4,-0.08,-0.21,0.0
2024-03-24 16:24:41.0060,0.31,0.34,0.19,-0.04,-0.12,-0.01
2024-03-24 16:24:41.0160,0.36,0.28,0.0,0.06,-0.05,-0.04
2024-03-24 16:24:41.0260,0.34,0.21,-0.01,0.18,-0.02,-0.08
2024-03-24 16:24:41.0360,0.34,0.16,-0.09,0.32,-0.01,-0.1
2024-03-24 16:24:41.0460,0.39,0.12,-0.2,0.44,-0.0,-0.11
2024-03-24 16:24:41.0560,0.27,0.09,-0.24,0.52,-0.02,-0.13
2024-03-24 16:24:41.0670,0.12,0.13,-0.32,0.55,-0.04,-0.14
2024-03-24 16:24:41.0770,0.02,0.16,-0.45,0.54,-0.07,-0.15
2024-03-24 16:24:41.0870,-0.09,0.18,-0.6,0.5,-0.12,-0.15
2024-03-24 16:24:41.0970,-0.18,0.22,-0.76,0.43,-0.17,-0.13
2024-03-24 16:24:41.1070,-0.4,0.18,-0.78,0.35,-0.25,-0.14
2024-03-24 16:24:41.1170,-0.46,0.22,-0.66,0.25,-0.3,-0.14
2024-03-24 16:24:41.1270,-0.21,0.23,-0.65,0.14,-0.27,-0.12
2024-03-24 16:24:41.1370,-0.06,0.17,-0.58,0.05,-0.26,-0.1
2024-03-24 16:24:41.1530,-0.06,0.16,-0.34,-0.02,-0.27,-0.11
2024-03-24 16:24:41.1570,0.03,0.07,-0.26,-0.05,-0.27,-0.13
2024-03-24 16:24:41.1660,0.11,-0.04,-0.28,-0.03,-0.25,-0.14
2024-03-24 16:24:41.1770,0.12,-0.12,-0.24,0.03,-0.26,-0.16
2024-03-24 16:24:41.1870,0.09,-0.18,-0.21,0.1,-0.28,-0.18
2024-03-24 16:24:41.1970,0.12,-0.26,-0.21,0.17,-0.29,-0.19
2024-03-24 16:24:41.2070,0.17,-0.34,-0.14,0.21,-0.31,-0.19
2024-03-24 16:24:41.2170,0.14,-0.38,0.0,0.21,-0.34,-0.21
2024-03-24 16:24:41.2270,0.16,-0.39,0.09,0.19,-0.32,-0.23
2024-03-24 16:24:41.2370,0.28,-0.43,0.04,0.15,-0.28,-0.23
2024-03-24 16:24:41.2470,0.25,-0.47,0.05,0.13,-0.21,-0.21
2024-03-24 16:24:41.2570,0.3,-0.49,-0.1,0.13,-0.13,-0.17
2024-03-24 16:24:41.2670,0.32,-0.53,-0.26,0.17,-0.07,-0.14
2024-03-24 16:24:41.2770,0.25,-0.5,-0.4,0.24,-0.04,-0.12
2024-03-24 16:24:41.2870,0.21,-0.46,-0.62,0.31,-0.05,-0.11
2024-03-24 16:24:41.2970,0.14,-0.35,-0.74,0.34,-0.08,-0.14
2024-03-24 16:24:41.3070,0.03,-0.19,-0.77,0.31,-0.11,-0.18
2024-03-24 16:24:41.3170,-0.07,-0.07,-0.71,0.22,-0.15,-0.23
2024-03-24 16:24:41.3270,-0.16,0.04,-0.65,0.11,-0.17,-0.27
2024-03-24 16:24:41.3370,-0.24,0.16,-0.58,0.0,-0.18,-0.28
2024-03-24 16:24:41.3470,-0.32,0.23,-0.45,-0.09,-0.19,-0.3
2024-03-24 16:24:41.3570,-0.33,0.2,-0.39,-0.16,-0.19,-0.33
2024-03-24 16:24:41.3670,-0.3,0.18,-0.29,-0.2,-0.2,-0.38
2024-03-24 16:24:41.3770,-0.28,0.22,-0.19,-0.22,-0.2,-0.42
2024-03-24 16:24:41.3870,-0.28,0.2,-0.15,-0.24,-0.2,-0.46
2024-03-24 16:24:41.3970,-0.28,0.19,-0.07,-0.26,-0.19,-0.51
2024-03-24 16:24:41.4070,-0.31,0.21,0.04,-0.3,-0.16,-0.55
2024-03-24 16:24:41.4170,-0.34,0.19,0.11,-0.32,-0.13,-0.57
2024-03-24 16:24:41.4270,-0.39,0.15,0.07,-0.31,-0.11,-0.57
2024-03-24 16:24:41.4370,-0.45,0.11,0.15,-0.28,-0.14,-0.58
2024-03-24 16:24:41.4470,-0.5,0.12,0.16,-0.25,-0.19,-0.58
2024-03-24 16:24:41.4570,-0.49,0.13,0.13,-0.23,-0.25,-0.56
2024-03-24 16:24:41.4670,-0.52,0.22,0.17,-0.24,-0.24,-0.54
2024-03-24 16:24:41.4770,-0.53,0.29,-0.01,-0.26,-0.17,-0.53
2024-03-24 16:24:41.4870,-0.57,0.37,-0.14,-0.3,-0.03,-0.5
