time,ax,ay,az,wx,wy,wz
2024-03-25 16:38:14.9030,0.1,-0.06,-1.34,-0.67,-0.07,-0.26
2024-03-25 16:57:50.7100,-0.48,-0.02,-1.67,-0.79,-0.14,-0.17
2024-03-25 16:57:50.7150,-0.75,0.0,-1.75,-0.9,-0.22,-0.05
2024-03-25 16:57:50.7240,-0.74,-0.13,-1.88,-0.95,-0.3,0.02
2024-03-25 16:57:50.7350,-0.13,-0.36,-1.81,-0.91,-0.34,0.01
2024-03-25 16:57:50.7440,0.51,-0.58,-1.6,-0.77,-0.31,-0.04
2024-03-25 16:57:50.7540,0.82,-0.67,-1.57,-0.58,-0.19,-0.07
2024-03-25 16:57:50.7640,0.66,-0.75,-1.97,-0.39,-0.04,-0.07
2024-03-25 16:57:50.7750,0.31,-0.87,-2.4,-0.2,0.14,-0.07
2024-03-25 16:57:50.7850,0.16,-1.18,-2.72,-0.03,0.31,-0.05
2024-03-25 16:57:50.7950,0.12,-1.36,-2.94,0.08,0.41,-0.02
2024-03-25 16:57:50.8050,0.09,-1.57,-3.36,0.14,0.46,-0.02
2024-03-25 16:57:50.8140,0.2,-1.74,-3.92,0.12,0.44,-0.04
2024-03-25 16:57:50.8240,0.46,-1.78,-4.48,0.0,0.34,-0.06
2024-03-25 16:57:50.8340,0.64,-1.52,-5.0,-0.18,0.16,-0.05
2024-03-25 16:57:50.8440,0.77,-1.18,-5.09,-0.4,-0.05,-0.03
2024-03-25 16:57:50.8550,1.05,-0.84,-4.86,-0.62,-0.22,-0.02
2024-03-25 16:57:50.8650,1.16,-0.76,-4.45,-0.79,-0.32,-0.01
2024-03-25 16:57:50.8750,0.9,-0.83,-3.66,-0.86,-0.39,0.02
2024-03-25 16:57:50.8850,0.51,-0.73,-2.5,-0.8,-0.47,0.02
2024-03-25 16:57:50.8950,0.26,-0.56,-1.33,-0.67,-0.45,0.01
2024-03-25 16:57:50.9050,0.17,-0.29,-0.57,-0.53,-0.36,0.01
2024-03-25 16:57:50.9150,-0.08,0.08,-0.36,-0.45,-0.26,0.04
2024-03-25 16:57:50.9240,-0.28,0.43,-0.34,-0.41,-0.15,0.09
2024-03-25 16:57:50.9350,-0.38,0.74,-0.23,-0.43,-0.01,0.18
2024-03-25 16:57:50.9440,-0.31,0.9,-0.01,-0.48,0.07,0.24
2024-03-25 16:57:50.9540,0.24,0.94,0.44,-0.52,0.08,0.23
2024-03-25 16:57:50.9640,0.9,0.95,1.31,-0.51,0.08,0.17
2024-03-25 16:57:50.9750,1.45,0.92,2.62,-0.38,0.09,0.08
2024-03-25 16:57:50.9850,1.8,0.87,4.24,-0.11,0.11,-0.03
2024-03-25 16:57:50.9950,2.0,0.97,5.83,0.23,0.15,-0.15
2024-03-25 16:57:51.0050,2.02,1.08,6.76,0.56,0.17,-0.27
2024-03-25 16:57:51.0150,1.89,1.39,6.78,0.8,0.21,-0.35
2024-03-25 16:57:51.0240,1.37,2.25,5.97,0.83,0.3,-0.27
2024-03-25 16:57:51.0350,-0.4,3.08,4.08,0.61,0.49,-0.07
2024-03-25 16:57:51.0440,-2.21,2.87,2.19,0.2,0.64,0.18
2024-03-25 16:57:51.0550,-2.84,2.24,1.6,-0.17,0.58,0.37
2024-03-25 16:57:51.0650,-2.7,1.04,2.78,-0.24,0.4,0.43
2024-03-25 16:57:51.0740,-1.94,-0.7,5.02,-0.03,0.14,0.35
2024-03-25 16:57:51.0840,-1.53,-2.08,6.67,0.29,-0.02,0.21
2024-03-25 16:57:51.0940,-1.49,-2.81,6.83,0.58,-0.06,0.05
2024-03-25 16:57:51.1040,-2.03,-3.05,5.76,0.73,0.01,0.0
2024-03-25 16:57:51.1150,-2.91,-2.77,3.86,0.73,0.14,0.05
2024-03-25 16:57:51.1240,-3.59,-2.35,1.82,0.53,0.26,0.2
2024-03-25 16:57:51.1350,-4.12,-1.97,-0.15,0.21,0.29,0.39
2024-03-25 16:57:51.1450,-4.16,-1.67,-1.54,-0.16,0.28,0.52
2024-03-25 16:57:51.1540,-3.51,-1.46,-2.41,-0.55,0.2,0.56
2024-03-25 16:57:51.1640,-2.44,-1.31,-2.76,-0.87,0.08,0.53
2024-03-25 16:57:51.1740,-1.21,-1.14,-2.61,-1.11,-0.02,0.45
2024-03-25 16:57:51.1840,-0.2,-1.09,-2.17,-1.24,-0.1,0.36
2024-03-25 16:57:51.1940,0.56,-1.12,-1.44,-1.28,-0.17,0.26
2024-03-25 16:57:51.2040,1.08,-1.2,-0.71,-1.21,-0.2,0.18
2024-03-25 16:57:51.2140,1.34,-1.31,-0.02,-1.05,-0.18,0.1
2024-03-25 16:57:51.2240,1.33,-1.34,0.57,-0.81,-0.13,0.05
2024-03-25 16:57:51.2340,1.08,-1.13,0.83,-0.54,-0.07,0.03
2024-03-25 16:57:51.2440,0.53,-0.94,0.75,-0.27,-0.04,0.07
2024-03-25 16:57:51.2540,-0.04,-0.73,0.41,-0.01,-0.03,0.13
2024-03-25 16:57:51.2640,-0.23,-0.57,-0.36,0.18,0.01,0.18
2024-03-25 16:57:51.2740,-0.25,-0.53,-1.59,0.29,0.07,0.22
2024-03-25 16:57:51.2840,-0.34,-0.54,-2.74,0.32,0.1,0.26
2024-03-25 16:57:51.2940,-0.45,-0.58,-3.67,0.28,0.12,0.29
2024-03-25 16:57:51.3040,-0.46,-0.73,-4.49,0.17,0.12,0.29
2024-03-25 16:57:51.3150,-0.39,-0.89,-5.07,0.03,0.11,0.28
2024-03-25 16:57:51.3240,-0.28,-0.95,-5.2,-0.1,0.06,0.25
2024-03-25 16:57:51.3340,-0.08,-0.86,-4.98,-0.2,-0.03,0.2
2024-03-25 16:57:51.3440,0.18,-0.63,-4.54,-0.28,-0.09,0.15
2024-03-25 16:57:51.3540,0.38,-0.46,-4.09,-0.35,-0.11,0.1
2024-03-25 16:57:51.3640,0.5,-0.35,-3.6,-0.38,-0.08,0.07
2024-03-25 16:57:51.3740,0.42,-0.25,-3.02,-0.38,-0.0,0.06
2024-03-25 16:57:51.3840,0.19,-0.19,-2.31,-0.29,0.08,0.05
2024-03-25 16:57:51.3940,0.02,-0.09,-1.41,-0.17,0.12,0.05
2024-03-25 16:57:51.4040,-0.18,0.18,-0.77,-0.05,0.16,0.06
2024-03-25 16:57:51.4140,-0.18,0.55,-0.41,0.04,0.2,0.07
2024-03-25 16:57:51.4240,-0.19,0.93,-0.34,0.07,0.22,0.08
2024-03-25 16:57:51.4340,-0.35,1.3,-0.52,0.01,0.2,0.1
2024-03-25 16:57:51.4440,-0.57,1.56,-0.76,-0.14,0.15,0.1
2024-03-25 16:57:51.4540,-0.81,1.64,-0.84,-0.3,0.05,0.1
2024-03-25 16:57:51.4640,-1.0,1.69,-0.52,-0.43,-0.05,0.08
2024-03-25 16:57:51.4740,-1.12,1.81,-0.03,-0.56,-0.16,0.06
2024-03-25 16:57:51.4840,-1.34,1.89,0.2,-0.72,-0.27,0.06
2024-03-25 16:57:51.4940,-1.62,2.02,0.43,-0.84,-0.3,0.1
2024-03-25 16:57:51.5040,-1.62,1.87,1.09,-0.84,-0.29,0.06
2024-03-25 16:57:51.5140,-1.28,1.6,2.18,-0.75,-0.3,0.01
2024-03-25 16:57:51.5240,-0.97,1.33,2.95,-0.61,-0.28,-0.12
2024-03-25 16:57:51.5350,-0.24,1.23,3.54,-0.39,-0.33,-0.27
2024-03-25 16:57:51.5440,-0.05,1.33,3.81,-0.2,-0.34,-0.36
2024-03-25 16:57:51.5540,-0.31,1.45,3.35,-0.12,-0.28,-0.39
2024-03-25 16:57:51.5640,-0.41,1.5,2.34,-0.2,-0.2,-0.37
2024-03-25 16:57:51.5740,-0.45,1.67,1.3,-0.42,-0.08,-0.27
2024-03-25 16:57:51.5840,-0.52,1.28,1.02,-0.56,0.02,-0.18
2024-03-25 16:57:51.5940,-0.13,0.59,1.98,-0.57,0.14,-0.14
2024-03-25 16:57:51.6040,0.36,-0.26,3.06,-0.5,0.25,-0.14
2024-03-25 16:57:51.6140,0.61,-1.06,3.84,-0.33,0.28,-0.19
2024-03-25 16:57:51.6240,0.8,-1.64,4.54,-0.11,0.2,-0.25
2024-03-25 16:57:51.6340,0.65,-1.95,4.79,0.09,0.03,-0.3
2024-03-25 16:57:51.6440,0.48,-2.05,4.55,0.25,-0.16,-0.33
2024-03-25 16:57:51.6540,0.44,-2.08,3.71,0.29,-0.29,-0.34
2024-03-25 16:57:51.6640,0.41,-2.1,2.56,0.28,-0.38,-0.33
2024-03-25 16:57:51.6740,0.46,-2.0,1.56,0.22,-0.41,-0.3
2024-03-25 16:57:51.6840,0.42,-1.82,0.66,0.12,-0.36,-0.27
2024-03-25 16:57:51.6940,0.33,-1.77,-0.16,-0.03,-0.28,-0.24
2024-03-25 16:57:51.7040,0.27,-1.77,-0.88,-0.24,-0.22,-0.2
2024-03-25 16:57:51.7140,0.07,-1.83,-1.42,-0.47,-0.2,-0.16
2024-03-25 16:57:51.7240,-0.06,-1.92,-1.53,-0.62,-0.2,-0.15
2024-03-25 16:57:51.7340,0.03,-1.91,-1.14,-0.68,-0.22,-0.19
2024-03-25 16:57:51.7440,0.31,-1.88,-0.68,-0.63,-0.21,-0.26
2024-03-25 16:57:51.7540,0.55,-1.79,-0.43,-0.51,-0.2,-0.38
2024-03-25 16:57:51.7640,0.7,-1.61,-0.38,-0.36,-0.19,-0.49
2024-03-25 16:57:51.7740,0.68,-1.32,-0.69,-0.21,-0.17,-0.57
2024-03-25 16:57:51.7840,0.31,-0.96,-1.15,-0.09,-0.14,-0.59
2024-03-25 16:57:51.7940,-0.21,-0.59,-1.86,-0.04,-0.11,-0.56
2024-03-25 16:57:51.8040,-0.57,-0.22,-2.62,-0.03,-0.09,-0.52
2024-03-25 16:57:51.8140,-0.61,0.24,-3.14,-0.04,-0.09,-0.49
2024-03-25 16:57:51.8240,-0.46,0.68,-3.54,-0.06,-0.06,-0.47
2024-03-25 16:57:51.8340,-0.25,1.02,-3.71,-0.06,-0.01,-0.45
2024-03-25 16:57:51.8440,-0.23,1.21,-3.7,-0.06,0.06,-0.42
2024-03-25 16:57:51.8540,-0.56,1.27,-3.69,-0.06,0.12,-0.32
2024-03-25 16:57:51.8640,-1.11,1.28,-3.67,-0.1,0.15,-0.15
2024-03-25 16:57:51.8740,-1.7,1.34,-3.63,-0.19,0.14,0.06
2024-03-25 16:57:51.8840,-2.07,1.5,-3.61,-0.36,0.11,0.27
2024-03-25 16:57:51.8940,-2.02,1.54,-3.62,-0.55,0.08,0.43
2024-03-25 16:57:51.9040,-1.63,1.4,-3.37,-0.69,0.05,0.51
2024-03-25 16:57:51.9140,-0.95,1.27,-2.76,-0.73,0.08,0.49
2024-03-25 16:57:51.9240,-0.25,1.13,-2.16,-0.74,0.15,0.44
2024-03-25 16:57:51.9340,0.08,0.95,-1.85,-0.71,0.2,0.37
2024-03-25 16:57:51.9440,0.13,0.82,-1.52,-0.67,0.22,0.3
2024-03-25 16:57:51.9540,0.1,0.72,-1.31,-0.66,0.2,0.23
2024-03-25 16:57:51.9640,0.13,0.51,-1.0,-0.63,0.16,0.16
