time,ax,ay,az,wx,wy,wz
2024-03-25 16:23:27.1900,-0.36,-0.17,0.6,-0.05,0.08,-0.13
2024-03-25 16:23:27.1910,-0.31,-0.12,0.48,-0.02,0.07,-0.18
2024-03-25 16:23:27.2010,-0.38,-0.22,0.18,0.02,0.13,-0.2
2024-03-25 16:23:27.2110,-0.4,-0.29,-0.15,0.07,0.23,-0.2
2024-03-25 16:23:27.2210,-0.16,-0.35,-0.43,0.08,0.32,-0.2
2024-03-25 16:23:27.2310,0.1,-0.28,-0.54,0.04,0.34,-0.21
2024-03-25 16:23:27.2410,0.15,-0.11,-0.29,0.0,0.32,-0.23
2024-03-25 16:23:27.2510,0.1,-0.16,0.0,0.01,0.34,-0.24
2024-03-25 16:23:27.2610,0.04,-0.23,0.03,0.04,0.33,-0.22
2024-03-25 16:23:27.2710,-0.02,-0.27,0.0,0.06,0.28,-0.19
2024-03-25 16:23:27.2810,-0.07,-0.3,0.04,0.06,0.22,-0.19
2024-03-25 16:23:27.2900,-0.16,-0.21,0.12,0.06,0.18,-0.18
2024-03-25 16:23:27.3000,-0.29,-0.09,0.07,0.03,0.12,-0.15
2024-03-25 16:23:27.3100,-0.33,0.0,-0.06,-0.03,0.08,-0.13
2024-03-25 16:23:27.3200,-0.3,0.01,-0.1,-0.08,0.05,-0.13
2024-03-25 16:23:27.3300,-0.26,0.07,-0.08,-0.1,0.01,-0.13
2024-03-25 16:23:27.3400,-0.27,0.17,-0.06,-0.11,0.01,-0.11
2024-03-25 16:23:27.3500,-0.31,0.2,0.03,-0.11,0.03,-0.11
2024-03-25 16:23:27.3600,-0.43,0.13,0.16,-0.11,0.03,-0.09
2024-03-25 16:23:27.3700,-0.51,0.03,0.22,-0.08,0.03,-0.06
2024-03-25 16:23:27.3800,-0.46,0.04,0.45,0.0,0.03,-0.05
2024-03-25 16:23:27.3900,-0.31,0.06,0.64,0.1,0.08,-0.05
2024-03-25 16:23:27.4000,-0.14,0.08,0.6,0.2,0.14,-0.03
2024-03-25 16:23:27.4100,-0.03,0.04,0.52,0.29,0.17,-0.03
2024-03-25 16:23:27.4200,-0.01,-0.04,0.29,0.33,0.17,-0.01
2024-03-25 16:23:27.4300,-0.17,-0.01,0.1,0.33,0.18,0.01
2024-03-25 16:23:27.4400,-0.26,0.1,-0.11,0.3,0.19,0.02
2024-03-25 16:23:27.4500,-0.16,0.12,-0.3,0.24,0.16,0.02
2024-03-25 16:23:27.4600,0.02,0.01,-0.47,0.15,0.13,-0.02
2024-03-25 16:23:27.4690,0.14,-0.04,-0.54,0.08,0.12,-0.05
2024-03-25 16:23:27.4790,0.07,-0.03,-0.42,0.06,0.11,-0.08
2024-03-25 16:23:27.4890,-0.1,-0.03,-0.34,0.05,0.11,-0.07
2024-03-25 16:23:27.4990,-0.23,0.0,-0.31,0.05,0.11,-0.05
2024-03-25 16:23:27.5090,-0.4,0.08,-0.25,0.04,0.07,-0.0
2024-03-25 16:23:27.5190,-0.48,0.13,-0.36,0.0,0.03,0.04
2024-03-25 16:23:27.5290,-0.44,0.05,-0.51,-0.05,-0.01,0.06
2024-03-25 16:23:27.5390,-0.43,0.02,-0.52,-0.09,-0.03,0.07
2024-03-25 16:23:27.5490,-0.39,-0.04,-0.54,-0.13,-0.02,0.09
2024-03-25 16:23:27.5590,-0.28,-0.02,-0.53,-0.13,0.04,0.1
2024-03-25 16:23:27.5690,-0.19,0.02,-0.45,-0.1,0.12,0.09
2024-03-25 16:23:27.5790,-0.15,0.05,-0.37,-0.07,0.18,0.08
2024-03-25 16:23:27.5880,-0.14,0.01,-0.18,-0.03,0.22,0.07
2024-03-25 16:23:27.5990,-0.19,-0.11,0.1,0.03,0.22,0.06
2024-03-25 16:23:27.6080,-0.28,-0.27,0.31,0.07,0.16,0.06
2024-03-25 16:23:27.6180,-0.3,-0.24,0.3,0.08,0.1,0.08
2024-03-25 16:23:27.6280,-0.28,-0.04,0.14,0.06,0.05,0.09
2024-03-25 16:23:27.6380,-0.24,0.16,0.03,0.02,-0.01,0.1
2024-03-25 16:23:27.6480,-0.26,0.22,0.04,0.01,-0.04,0.11
2024-03-25 16:23:27.6580,-0.26,0.15,-0.14,0.01,0.01,0.13
2024-03-25 16:23:27.6680,-0.14,0.1,-0.32,0.02,0.08,0.14
2024-03-25 16:23:27.6780,-0.08,0.09,-0.29,0.03,0.12,0.12
2024-03-25 16:23:27.6910,-0.04,0.03,-0.21,0.01,0.12,0.1
2024-03-25 16:23:27.6980,-0.03,-0.05,-0.21,-0.04,0.09,0.08
2024-03-25 16:23:27.7080,0.0,0.01,-0.21,-0.08,0.07,0.07
2024-03-25 16:23:27.7180,0.02,0.13,-0.09,-0.1,0.06,0.06
2024-03-25 16:23:27.7280,-0.01,0.15,-0.07,-0.1,0.07,0.05
2024-03-25 16:23:27.7370,-0.07,0.11,-0.11,-0.09,0.09,0.06
2024-03-25 16:23:27.7470,-0.18,0.12,-0.06,-0.08,0.07,0.07
2024-03-25 16:23:27.7570,-0.26,0.1,0.09,-0.06,0.02,0.08
2024-03-25 16:23:27.7670,-0.27,0.02,0.15,-0.04,-0.01,0.1
2024-03-25 16:23:27.7770,-0.23,-0.04,0.11,-0.03,-0.03,0.1
2024-03-25 16:23:27.7870,-0.13,-0.08,0.09,-0.02,-0.07,0.08
2024-03-25 16:23:27.7970,-0.08,-0.13,0.12,-0.01,-0.09,0.06
2024-03-25 16:23:27.8070,-0.11,-0.13,0.03,0.01,-0.07,0.05
2024-03-25 16:23:27.8170,-0.18,-0.06,-0.18,0.01,-0.04,0.05
2024-03-25 16:23:27.8270,-0.2,0.0,-0.34,0.01,-0.01,0.06
2024-03-25 16:23:27.8370,-0.15,0.06,-0.48,-0.03,0.02,0.07
