time,ax,ay,az,wx,wy,wz
2024-03-22 12:15:04.1790,-1.05,0.54,1.08,0.5,0.27,0.13
2024-03-22 12:15:04.1890,-0.92,0.48,0.66,0.42,0.01,-0.01
2024-03-22 12:15:04.1920,-0.76,0.2,0.48,0.26,-0.31,-0.25
2024-03-22 12:15:04.2020,-0.65,-0.48,0.31,0.07,-0.48,-0.43
2024-03-22 12:15:04.2120,-0.38,-0.98,0.38,-0.06,-0.46,-0.39
2024-03-22 12:15:04.2210,-0.46,-0.87,-0.01,-0.12,-0.37,-0.28
2024-03-22 12:15:04.2320,-0.68,0.05,-0.4,-0.07,-0.25,-0.25
2024-03-22 12:15:04.2410,-0.69,0.7,-0.22,0.02,-0.05,-0.27
2024-03-22 12:15:04.2510,-0.23,0.15,0.11,0.09,0.14,-0.22
2024-03-22 12:15:04.2610,0.29,-0.45,-0.14,0.15,0.18,-0.15
2024-03-22 12:15:04.2710,0.22,0.08,0.0,0.2,0.09,-0.1
2024-03-22 12:15:04.2810,0.22,0.08,0.0,0.25,0.04,-0.07
2024-03-22 12:15:04.2910,-0.09,0.19,0.81,0.29,0.04,-0.06
2024-03-22 12:15:04.3010,-0.34,-0.06,0.91,0.32,0.11,-0.01
2024-03-22 12:15:04.3110,-0.48,0.03,0.19,0.31,0.15,0.02
2024-03-22 12:15:04.3210,-0.49,0.03,-0.06,0.37,0.21,-0.08
2024-03-22 12:15:04.3320,-0.41219296239316466,-0.3,-0.02,0.38,0.19,-0.17
2024-03-22 12:15:04.3410,-0.42,-0.3,-0.02,0.4,0.09,-0.19
2024-03-22 12:15:04.3510,-0.38,-0.62,0.44,0.44,-0.04,-0.15
2024-03-22 12:15:04.3610,-0.38,-0.62,0.44,0.44,-0.23,-0.03
2024-03-22 12:15:04.3710,-0.91,-1.0,-0.02,0.44,-0.42,0.14
2024-03-22 12:15:04.3810,-0.91,-1.0,-0.02,0.42,-0.53,0.34
2024-03-22 12:15:04.3930,-0.97,-0.9,-0.08,0.38,-0.49,0.56
2024-03-22 12:15:04.4010,-0.58,-0.67,-0.18,0.31,-0.44,0.71
2024-03-22 12:15:04.4110,-0.19,-0.32,-0.21,0.27,-0.38,0.71
2024-03-22 12:15:04.4210,-0.19,-0.32,-0.21,0.19,-0.24,0.66
2024-03-22 12:15:04.4300,0.63,0.52,-0.65,0.04,-0.11,0.55
2024-03-22 12:15:04.4410,0.86,0.83,-0.83,-0.12,0.02,0.37
2024-03-22 12:15:04.4510,1.05,0.73,-0.56,-0.26,0.01,0.14
2024-03-22 12:15:04.4610,1.05,0.73,-0.56,-0.26,0.01,0.14
2024-03-22 12:15:04.4700,0.24,0.03,0.12,-0.38,-0.01,-0.0
2024-03-22 12:15:04.4800,-1.08,-0.83,0.0,-0.32,0.11,0.07
