time,ax,ay,az,wx,wy,wz
2024-03-21 19:47:53.6410,-1.26,-0.4,-0.3,-0.32,0.39,-0.21
2024-03-21 19:47:53.6490,-1.46,-0.5,-0.23,-0.2,0.32,-0.11
2024-03-21 19:47:53.6550,-1.52,-0.56,-0.03,-0.05,0.27,0.02
2024-03-21 19:47:53.6650,-1.49,-0.44,0.06,0.11,0.25,0.16
2024-03-21 19:47:53.6750,-1.49,-0.44,0.06,0.24,0.22,0.27
2024-03-21 19:47:53.6840,-1.22,-0.38,-0.12,0.32,0.15,0.34
2024-03-21 19:47:53.6940,-0.82,-0.36,-0.36,0.38,0.06,0.37
2024-03-21 19:47:53.7050,-0.49,-0.11,-0.62,0.44,-0.03,0.38
2024-03-21 19:47:53.7140,-0.19,0.07,-0.82,0.46,-0.07,0.38
2024-03-21 19:47:53.7250,0.3,0.38,-1.07,0.42,-0.01,0.4
2024-03-21 19:47:53.7340,0.3,0.38,-1.07,0.34,0.07,0.43
2024-03-21 19:47:53.7440,0.45,0.55,-1.31,0.24,0.14,0.45
2024-03-21 19:47:53.7540,0.6,0.95,-1.42,0.14,0.18,0.45
2024-03-21 19:47:53.7640,0.6,0.95,-1.42,0.06,0.16,0.44
2024-03-21 19:47:53.7750,0.71,1.17,-1.0,0.02,0.08,0.41
2024-03-21 19:47:53.7840,0.85,1.11,-0.63,0.01,-0.07,0.37
2024-03-21 19:47:53.7940,0.85,1.11,-0.63,-0.01,-0.17,0.31
2024-03-21 19:47:53.8040,1.04,1.05,-0.18,-0.04,-0.18,0.28
2024-03-21 19:47:53.8140,1.26,0.92,0.48,-0.08,-0.06,0.28
2024-03-21 19:47:53.8240,1.36,0.8,0.88,-0.12,0.15,0.29
2024-03-21 19:47:53.8340,1.36,0.8,0.88,-0.11,0.42,0.39
2024-03-21 19:47:53.8440,1.44,0.56,1.19,-0.11,0.65,0.46
2024-03-21 19:47:53.8540,1.02,0.9,1.32,-0.1,0.74,0.53
2024-03-21 19:47:53.8640,0.9,0.89,1.32,-0.08,0.73,0.57
2024-03-21 19:47:53.8730,0.74,1.12,1.29,-0.07,0.68,0.55
2024-03-21 19:47:53.8840,0.68,1.37,1.14,-0.05,0.54,0.46
2024-03-21 19:47:53.8930,0.57,1.64,1.01,-0.03,0.34,0.33
2024-03-21 19:47:53.9030,0.44,1.81,1.01,0.01,0.12,0.2
2024-03-21 19:47:53.9130,0.22,1.71,1.0,0.07,-0.1,0.09
2024-03-21 19:47:53.9230,-0.07,0.9391455718874931,1.16,0.11,-0.25,-0.03
2024-03-21 19:47:53.9330,-0.32,0.93,1.16,0.17,-0.23,-0.06
2024-03-21 19:47:53.9430,-0.34,0.28,1.25,0.17,-0.15,-0.05
2024-03-21 19:47:53.9530,-1.06,0.31,1.15,0.13,-0.07,-0.04
2024-03-21 19:47:53.9630,-1.53,0.06,0.92,0.06,-0.0,-0.03
2024-03-21 19:47:53.9730,-1.52,-0.3,0.66,-0.08,0.02,-0.02
2024-03-21 19:47:53.9830,-1.55,-0.45,0.23,-0.26,-0.0,-0.02
2024-03-21 19:47:53.9930,-1.57,-0.65,-0.21,-0.42,-0.04,-0.02
2024-03-21 19:47:54.0030,-1.49,-0.92,-0.49,-0.54,-0.08,-0.02
2024-03-21 19:47:54.0130,-1.26,-1.2511898365616798,-0.30186075389385225,-0.61,-0.07,-0.02
2024-03-21 19:47:54.0230,-1.1,-1.26,-0.31,-0.65,-0.02,-0.05
2024-03-21 19:47:54.0330,-0.98,-1.33,-0.28,-0.66,-0.02,-0.09
2024-03-21 19:47:54.0420,-0.51,-1.5,-0.3,-0.64,0.06,-0.01
2024-03-21 19:47:54.0520,-0.37,-1.07,-0.14,-0.66,0.22,0.09
