time,ax,ay,az,wx,wy,wz
2024-03-24 16:24:28.2420,-0.26,0.07,-0.17,-0.27,0.16,0.28
2024-03-24 16:24:39.5090,-0.24,0.04,0.04,-0.26,0.16,0.29
2024-03-24 16:24:39.5180,-0.41,0.13,0.0,-0.25,0.13,0.29
2024-03-24 16:24:39.5280,-0.42,0.21,-0.11,-0.25,0.09,0.3
2024-03-24 16:24:39.5380,-0.47,0.14,-0.22,-0.26,0.07,0.31
2024-03-24 16:24:39.5480,-0.47,0.13,-0.29,-0.26,0.07,0.3
2024-03-24 16:24:39.5570,-0.42,0.18,-0.28,-0.25,0.1,0.28
2024-03-24 16:24:39.5670,-0.31,0.15,-0.24,-0.25,0.18,0.24
2024-03-24 16:24:39.5780,-0.22,0.14,-0.26,-0.29,0.29,0.18
2024-03-24 16:24:39.5880,-0.09,0.07,-0.33,-0.3,0.44,0.12
2024-03-24 16:24:39.5980,0.11,0.1,-0.53,-0.32,0.53,0.07
2024-03-24 16:24:39.6080,0.21,0.2,-0.57,-0.33,0.58,-0.0
2024-03-24 16:24:39.6180,0.43,0.12,-0.7,-0.34,0.6,-0.08
2024-03-24 16:24:39.6280,0.7,0.1,-0.85,-0.34,0.63,-0.17
2024-03-24 16:24:39.6370,0.97,-0.05,-0.83,-0.33,0.64,-0.26
2024-03-24 16:24:39.6480,1.08,-0.1,-0.66,-0.3,0.6,-0.34
2024-03-24 16:24:39.6580,1.04,0.01,-0.34,-0.22,0.56,-0.41
2024-03-24 16:24:39.6670,0.97,-0.05,0.13,-0.12,0.54,-0.46
2024-03-24 16:24:39.6780,0.87,-0.08,0.51,0.02,0.53,-0.5
2024-03-24 16:24:39.6870,0.74,-0.06,0.83,0.16,0.53,-0.54
2024-03-24 16:24:39.6960,0.68,-0.09,1.21,0.31,0.58,-0.59
2024-03-24 16:24:39.7070,0.68,-0.23,1.38,0.46,0.66,-0.68
2024-03-24 16:24:39.7170,0.93,-0.27,1.5,0.62,0.71,-0.81
2024-03-24 16:24:39.7270,1.3,-0.31,1.64,0.69,0.85,-0.95
2024-03-24 16:24:39.7370,1.83,0.04,1.42,0.7,0.96,-1.04
2024-03-24 16:24:39.7470,2.0,-0.13,0.87,0.65,1.03,-1.07
2024-03-24 16:24:39.7570,1.67,-0.65,0.32,0.61,1.04,-1.01
2024-03-24 16:24:39.7670,1.19,-0.57,-0.13,0.57,1.0,-0.91
2024-03-24 16:24:39.7770,0.34,-0.04,-0.1,0.52,0.95,-0.73
2024-03-24 16:24:39.7860,-0.61,0.43,-0.16,0.44,0.81,-0.54
2024-03-24 16:24:39.7970,-1.47,0.66,-0.29,0.36,0.64,-0.37
2024-03-24 16:24:39.8070,-1.89,1.09,-0.4,0.28,0.51,-0.31
2024-03-24 16:24:39.8170,-1.43,1.2,-0.5,0.19,0.35,-0.32
2024-03-24 16:24:39.8270,-0.05,0.97,-0.79,0.14,0.18,-0.31
2024-03-24 16:24:39.8370,0.99,0.83,-0.8,0.09,0.04,-0.3
2024-03-24 16:24:39.8470,0.88,0.89,-0.23,0.09,-0.01,-0.3
2024-03-24 16:24:39.8570,0.75,0.92,0.14,0.1,0.03,-0.31
2024-03-24 16:24:39.8670,0.82,0.97,0.5,0.13,0.12,-0.33
2024-03-24 16:24:39.8770,0.86,0.93,0.66,0.19,0.17,-0.33
2024-03-24 16:24:39.8870,0.85,0.77,0.65,0.24,0.14,-0.33
2024-03-24 16:24:39.8970,1.01,0.77,0.68,0.28,0.16,-0.33
2024-03-24 16:24:39.9070,0.98,0.82,0.69,0.3,0.23,-0.32
2024-03-24 16:24:39.9170,1.01,0.84,0.58,0.29,0.27,-0.29
2024-03-24 16:24:39.9270,0.88,0.93,0.32,0.3,0.16,-0.23
2024-03-24 16:24:39.9370,0.73,1.02,-0.34,0.29,0.03,-0.17
2024-03-24 16:24:39.9470,0.4,1.12,-0.37,0.24,-0.07,-0.1
2024-03-24 16:24:39.9570,0.23,1.23,-0.54,0.15,-0.16,-0.04
2024-03-24 16:24:39.9670,0.11,1.24,-0.94,0.04,-0.24,-0.01
2024-03-24 16:24:39.9770,0.23,1.14,-1.2,-0.07,-0.33,0.01
2024-03-24 16:24:39.9860,0.49,1.03,-1.34,-0.07,-0.33,0.01
2024-03-24 16:24:39.9960,0.61,0.94,-1.28,-0.25,-0.45,0.0
2024-03-24 16:24:40.0060,0.62,0.86,-1.17,-0.29,-0.43,-0.02
2024-03-24 16:24:40.0160,0.64,0.84,-0.97,-0.29,-0.39,-0.04
2024-03-24 16:24:40.0270,0.53,0.99,-0.59,-0.27,-0.38,-0.07
2024-03-24 16:24:40.0370,0.39,1.01,-0.36,-0.23,-0.38,-0.1
2024-03-24 16:24:40.0470,0.47,1.07,-0.26,-0.21,-0.4,-0.11
2024-03-24 16:24:40.0570,0.46,1.11,-0.27,-0.2,-0.45,-0.12
2024-03-24 16:24:40.0660,0.38,1.13,-0.41,-0.2,-0.49,-0.14
2024-03-24 16:24:40.0770,0.46,1.22,-0.55,-0.2,-0.5,-0.16
2024-03-24 16:24:40.0870,0.59,1.18,-0.72,-0.2,-0.49,-0.19
2024-03-24 16:24:40.0970,0.59,1.14,-0.82,-0.19,-0.45,-0.23
2024-03-24 16:24:40.1070,0.75,1.17,-0.83,-0.15,-0.39,-0.29
2024-03-24 16:24:40.1160,0.96,1.16,-0.73,-0.05,-0.35,-0.38
2024-03-24 16:24:40.1260,1.23,1.13,-0.44,0.08,-0.26,-0.46
2024-03-24 16:24:40.1360,1.41,1.06,0.08,0.2,-0.12,-0.52
2024-03-24 16:24:40.1460,1.24,1.05,0.47,0.26,0.04,-0.55
2024-03-24 16:24:40.1570,0.99,1.19,0.42,0.28,0.15,-0.57
2024-03-24 16:24:40.1670,0.74,1.31,0.04,0.28,0.22,-0.59
2024-03-24 16:24:40.1760,0.52,1.29,-0.12,0.3,0.3,-0.59
2024-03-24 16:24:40.1860,0.37,1.34,-0.01,0.31,0.4,-0.61
2024-03-24 16:24:40.1960,0.12,1.46,0.21,0.28,0.46,-0.62
2024-03-24 16:24:40.2050,0.14,1.46,0.26,0.23,0.47,-0.64
2024-03-24 16:24:40.2150,0.29,1.27,0.15,0.2,0.42,-0.66
2024-03-24 16:24:40.2260,0.39,1.14,-0.07,0.21,0.33,-0.68
2024-03-24 16:24:40.2360,0.37,1.17,-0.14,0.25,0.26,-0.69
2024-03-24 16:24:40.2450,0.4,1.17,0.06,0.29,0.21,-0.69
2024-03-24 16:24:40.2550,0.33,1.12,0.31,0.35,0.16,-0.72
2024-03-24 16:24:40.2660,0.18,1.06,0.35,0.43,0.14,-0.76
2024-03-24 16:24:40.2760,0.26,0.92,0.39,0.51,0.19,-0.81
2024-03-24 16:24:40.2850,0.42,0.68,0.54,0.56,0.24,-0.84
2024-03-24 16:24:40.2960,0.41,0.56,0.58,0.57,0.26,-0.86
2024-03-24 16:24:40.3060,0.25,0.42,0.31,0.55,0.25,-0.87
2024-03-24 16:24:40.3160,0.14,0.36,-0.03,0.5,0.23,-0.9
2024-03-24 16:24:40.3260,0.23,0.36,-0.41,0.43,0.21,-0.91
2024-03-24 16:24:40.3360,0.36,0.34,-0.79,0.35,0.17,-0.93
2024-03-24 16:24:40.3460,0.44,0.22,-1.08,0.26,0.13,-0.95
2024-03-24 16:24:40.3560,0.56,0.08,-1.3,0.18,0.07,-0.97
2024-03-24 16:24:40.3660,0.6,-0.08,-1.34,0.12,0.03,-1.01
2024-03-24 16:24:40.3760,0.57,-0.08,-1.24,0.08,-0.01,-1.05
2024-03-24 16:24:40.3860,0.6,-0.06,-0.97,0.06,-0.05,-1.06
2024-03-24 16:24:40.3960,0.56,-0.09,-0.62,0.06,-0.08,-1.04
2024-03-24 16:24:40.4060,0.35,-0.1,-0.36,0.07,-0.13,-1.03
2024-03-24 16:24:40.4160,0.13,-0.1,-0.17,0.1,-0.25,-1.0
2024-03-24 16:24:40.4260,-0.03,0.02,0.11,0.15,-0.45,-0.97
2024-03-24 16:24:40.4360,-0.2,-0.02,0.5,0.21,-0.63,-0.95
2024-03-24 16:24:40.4460,-0.14,-0.15,0.96,0.26,-0.81,-0.97
2024-03-24 16:24:40.4560,-0.06,-0.19,1.48,0.31,-0.92,-0.93
2024-03-24 16:24:40.4660,-0.26,-0.72,2.19,0.32,-1.01,-0.89
2024-03-24 16:24:40.4760,-0.26,-0.72,2.19,0.3,-1.02,-0.86
2024-03-24 16:24:40.4860,-0.22,-0.84,2.35,0.29,-0.95,-0.82
2024-03-24 16:24:40.4950,-0.12,-0.86,2.51,0.26,-0.73,-0.78
2024-03-24 16:24:40.5050,-0.14,-1.05,2.83,0.21,-0.52,-0.78
2024-03-24 16:24:40.5160,-0.02,-1.19,2.98,0.2,-0.29,-0.83
2024-03-24 16:24:40.5250,0.36,-1.03,2.68,0.18,-0.07,-0.89
2024-03-24 16:24:40.5360,0.21,-0.82,1.68,-0.05,0.03,-0.85
2024-03-24 16:24:40.5460,0.21,-0.82,1.68,-0.2,-0.19,-0.81
2024-03-24 16:24:40.5560,-0.78,-0.46,-0.27,-0.28,-0.34,-0.84
2024-03-24 16:24:40.5660,-0.72,-0.34,-0.52,-0.29,-0.44,-0.89
2024-03-24 16:24:40.5760,-0.22,-0.53,-0.61,-0.28,-0.49,-0.91
2024-03-24 16:24:40.5860,0.18,-0.41,-0.65,-0.29,-0.51,-0.9
2024-03-24 16:24:40.5950,0.47,0.02,-1.08,-0.29,-0.52,-0.88
2024-03-24 16:24:40.6060,0.47,0.02,-1.08,-0.3,-0.52,-0.87
2024-03-24 16:24:40.6160,0.45,-0.17,-1.45,-0.34,-0.48,-0.83
2024-03-24 16:24:40.6260,0.55,-0.25,-1.75,-0.33,-0.45,-0.77
2024-03-24 16:24:40.6350,0.29,-0.02,-1.82,-0.23,-0.4,-0.7
2024-03-24 16:24:40.6460,0.04,0.13,-1.46,-0.09,-0.38,-0.63
2024-03-24 16:24:40.6550,-0.16,0.26,-0.94,0.09,-0.39,-0.56
2024-03-24 16:24:40.6650,-0.39,0.33,-0.56,0.25,-0.39,-0.5
2024-03-24 16:24:40.6760,-0.48,0.44,-0.15,0.35,-0.37,-0.46
2024-03-24 16:24:40.6840,-0.21,0.32,0.29,0.32,-0.34,-0.37
2024-03-24 16:24:40.6950,0.19,0.05,0.5,0.22,-0.3,-0.32
2024-03-24 16:24:40.7050,0.17,0.12,0.31,0.13,-0.23,-0.29
2024-03-24 16:24:40.7150,0.41,-0.05,0.45,0.03,-0.2,-0.24
2024-03-24 16:24:40.7240,0.41,-0.28,0.96,0.03,-0.2,-0.24
2024-03-24 16:24:40.7350,0.04,-0.14,1.25,-0.16,-0.28,-0.13
2024-03-24 16:24:40.7450,0.0,0.06,1.45,-0.33,0.1,-0.21
2024-03-24 16:24:40.7570,0.14,0.9,2.14,-0.17,0.07,-0.4
2024-03-24 16:24:40.7650,-0.11,-1.13,1.12,-0.17,0.14,-0.46
2024-03-24 16:24:40.7740,1.15,-1.74,2.47,-0.1,0.29,-0.48
2024-03-24 16:24:40.7840,1.54,0.11,1.74,0.03,0.32,-0.5
2024-03-24 16:24:40.7940,0.18,-0.09,1.6,0.16,0.26,-0.47
2024-03-24 16:24:40.8040,-0.43,-0.48,0.99,0.26,0.19,-0.47
2024-03-24 16:24:40.8150,-0.47,-0.25,0.4,0.32,0.11,-0.45
2024-03-24 16:24:40.8250,-0.3,-0.21,-0.13,0.37,0.04,-0.44
2024-03-24 16:24:40.8350,-0.25,-0.45,-0.54,0.36,-0.06,-0.41
2024-03-24 16:24:40.8450,-0.38,-0.51,-0.96,0.36,-0.2,-0.41
2024-03-24 16:24:40.8540,-0.68,-0.44,-1.45,0.36,-0.32,-0.42
2024-03-24 16:24:40.8650,-0.81,-0.52,-1.45,0.31,-0.42,-0.4
2024-03-24 16:24:40.8750,-0.81,-0.52,-1.4,0.24,-0.53,-0.38
2024-03-24 16:24:40.8850,-1.14,-0.26,-1.59,0.17,-0.61,-0.36
2024-03-24 16:24:40.8950,-1.35,-0.21,-1.55,0.1,-0.65,-0.33
2024-03-24 16:24:40.9050,-1.39,-0.25,-1.46,0.02,-0.68,-0.33
2024-03-24 16:24:40.9150,-1.38,-0.19,-1.39,-0.04,-0.71,-0.32
2024-03-24 16:24:40.9240,-1.15,-0.23,-1.28,-0.1,-0.69,-0.29
2024-03-24 16:24:40.9350,-0.95,-0.37,-1.09,-0.14,-0.67,-0.24
2024-03-24 16:24:40.9440,-1.27,-0.3,-1.01,-0.12,-0.57,-0.25
2024-03-24 16:24:40.9550,-1.13,0.0,-0.75,-0.17,-0.4,-0.21
2024-03-24 16:24:40.9640,-0.62,0.33,-0.31,-0.1,-0.38,-0.18
2024-03-24 16:24:40.9740,-1.31,0.03,-0.47,-0.05,-0.36,-0.15
2024-03-24 16:24:40.9860,-1.69,-1.0,0.26,-0.04,-0.29,-0.14
2024-03-24 16:24:40.9940,-1.02,-0.18,0.34,-0.01,-0.23,-0.12
2024-03-24 16:24:41.0030,-0.74,0.11,0.5,0.0,-0.24,-0.06
2024-03-24 16:24:41.0140,-1.18,-0.2,0.53,-0.03,-0.28,0.02
2024-03-24 16:24:41.0230,-1.63,-0.29,0.39,-0.05,-0.32,0.11
2024-03-24 16:24:41.0330,-1.84,-0.05,0.11,-0.07,-0.33,0.19
2024-03-24 16:24:41.0440,-1.89,0.07,-0.02,-0.07,-0.33,0.19
2024-03-24 16:24:41.0540,-1.87,0.07,-0.1,-0.03,-0.35,0.31
2024-03-24 16:24:41.0650,-1.72,0.0,-0.09,-0.03,-0.35,0.31
2024-03-24 16:24:41.0740,-1.56,-0.01,-0.05,0.03,-0.3,0.37
2024-03-24 16:24:41.0830,-1.34,-0.01,0.0,0.06,-0.28,0.39
2024-03-24 16:24:41.0950,-1.33,0.03,-0.05,0.1,-0.26,0.41
2024-03-24 16:24:41.1040,-1.4,0.17,-0.17,0.13,-0.25,0.44
2024-03-24 16:24:41.1140,-1.47,0.27,-0.13,0.13,-0.25,0.44
2024-03-24 16:24:41.1230,-1.62,0.35,-0.06,0.29,-0.23,0.49
2024-03-24 16:24:41.1340,-1.72,0.4,0.16,0.44,-0.15,0.49
2024-03-24 16:24:41.1440,-1.62,0.51,0.47,0.64,-0.03,0.47
2024-03-24 16:24:41.1530,-1.52,0.64,0.95,0.77,0.14,0.46
2024-03-24 16:24:41.1640,-1.47,0.7,1.24,0.79,0.31,0.45
2024-03-24 16:24:41.1740,-1.44,0.6,0.83,0.73,0.37,0.47
2024-03-24 16:24:41.1830,-1.23,0.51,-0.2,0.59,0.35,0.5
2024-03-24 16:24:41.1940,-1.21,0.41,-1.01,0.41,0.32,0.53
2024-03-24 16:24:41.2040,-1.38,0.38,-1.53,0.21,0.28,0.57
2024-03-24 16:24:41.2130,-1.58,0.55,-1.82,0.02,0.15,0.65
2024-03-24 16:24:41.2230,-1.94,0.77,-1.96,-0.15,-0.01,0.71
2024-03-24 16:24:41.2330,-2.35,0.83,-1.9,-0.29,-0.11,0.75
2024-03-24 16:24:41.2440,-2.46,0.88,-1.6,-0.4,-0.23,0.78
2024-03-24 16:24:41.2530,-2.33,0.96,-1.47,-0.42,-0.39,0.8
2024-03-24 16:24:41.2630,-2.28,0.83,-1.27,-0.36,-0.55,0.76
2024-03-24 16:24:41.2730,-2.04,0.78,-0.71,-0.24,-0.69,0.69
2024-03-24 16:24:41.2830,-1.4,0.88,-0.17,-0.24,-0.69,0.69
2024-03-24 16:24:41.2940,-1.02,0.72,0.35,0.13,-0.78,0.48
2024-03-24 16:24:41.3030,-0.7,0.58,1.02,0.31,-0.68,0.35
2024-03-24 16:24:41.3130,-0.45,0.34,1.31,0.45,-0.46,0.23
2024-03-24 16:24:41.3230,-0.23,0.21,1.23,0.54,-0.2,0.13
2024-03-24 16:24:41.3330,-0.18,0.19,1.0,0.6,-0.05,0.09
2024-03-24 16:24:41.3430,-0.35,0.25,0.56,0.66,-0.0,0.07
2024-03-24 16:24:41.3530,-1.09,0.5,0.44,0.69,0.01,0.07
2024-03-24 16:24:41.3630,-1.09,0.5,0.44,0.69,0.01,0.07
2024-03-24 16:24:41.3730,-1.29,0.66,0.36,0.61,0.05,0.11
2024-03-24 16:24:41.3830,-1.37,0.77,0.15,0.54,0.06,0.14
2024-03-24 16:24:41.3930,-1.37,0.86,-0.13,0.49,0.05,0.12
2024-03-24 16:24:41.4030,-1.18,0.66,-0.31,0.45,0.0,0.09
2024-03-24 16:24:41.4130,-0.82,0.36,-0.31,0.42,-0.05,0.08
2024-03-24 16:24:41.4230,-0.67,0.23,-0.18,0.37,-0.05,0.06
2024-03-24 16:24:41.4330,-0.8,0.17,0.07,0.29,-0.01,0.04
2024-03-24 16:24:41.4430,-0.74,0.15,0.22,0.2,0.02,0.04
2024-03-24 16:24:41.4530,-0.62,0.12,0.2,0.1,0.07,0.05
2024-03-24 16:24:41.4630,-0.63,0.11,0.25,-0.0,0.17,0.06
2024-03-24 16:24:41.4730,-0.63,0.09,0.4,-0.11,0.27,0.07
2024-03-24 16:24:41.4830,-0.51,-0.05,0.58,-0.22,0.36,0.04
2024-03-24 16:24:41.4930,-0.27,-0.35,0.81,-0.32,0.44,-0.01
2024-03-24 16:24:41.5030,0.08,-0.61,1.21,-0.4,0.5,-0.05
2024-03-24 16:24:41.5130,0.37,-0.78,1.68,-0.43,0.51,-0.06
2024-03-24 16:24:41.5230,0.4,-0.98,1.97,-0.44,0.51,-0.06
2024-03-24 16:24:41.5330,0.17,-1.06,2.13,-0.4,0.53,-0.05
2024-03-24 16:24:41.5430,0.1,-0.98,2.03,-0.36,0.52,-0.06
2024-03-24 16:24:41.5530,0.2,-0.88,1.58,-0.34,0.48,-0.03
2024-03-24 16:24:41.5630,0.4,-0.86,0.84,-0.39,0.49,-0.01
2024-03-24 16:24:41.5720,0.68,-0.73,-0.15,-0.49,0.35,0.05
2024-03-24 16:24:41.5830,1.02,-0.72,-1.79,-0.49,0.35,0.05
2024-03-24 16:24:41.5920,0.98,-0.69,-2.85,-0.71,0.12,0.17
2024-03-24 16:24:41.6030,1.05,-0.48,-3.16,-0.77,-0.0,0.22
2024-03-24 16:24:41.6130,1.29,-0.17,-3.33,-0.76,-0.09,0.25
